file,category,split,vertices_count,faces_count,triangles_count,edges_count,surface_area,mean_triangle_area,min_triangle_area,max_triangle_area,bbox_x,bbox_y,bbox_z,bbox_diagonal,centroid_x,centroid_y,centroid_z,max_radius_from_centroid
D:\research\data\ModelNet10\bathtub\test\bathtub_0138.off,bathtub,test,2950,2816,2816,5686,131312.19793971928,46.63075210927532,4.222146971727687e-06,7355.6721561,108.832,278.6185,52.1663,303.6346416697871,-0.05722779661016452,-36.76532671186434,4.560041986440665,176.85996148740637
D:\research\data\ModelNet10\bathtub\test\bathtub_0139.off,bathtub,test,1690,1578,1578,3211,56583.177106978714,35.90303115925047,0.0009874600000000183,1184.3273288920002,74.9577,125.135,39.7638,151.19055792188215,0.3016602591715974,34.561075384615414,8.187570976331335,101.60984683627667
D:\research\data\ModelNet10\bathtub\test\bathtub_0140.off,bathtub,test,760,696,696,1428,4531.612868940916,6.5485735100302325,5.214999999986203e-05,39.840868449999995,20.079,35.8268,9.8622,42.23729191224267,0.23399473684210473,-1.947368420482931e-05,1.7079105263157983,18.202584086210674
D:\research\data\ModelNet10\bathtub\test\bathtub_0141.off,bathtub,test,74637,25241,25241,75181,35194.42910961241,1.3943357675849746,7.999999999976033e-08,155.31140838557533,65.62642,106.57123,39.639042,131.2840725922496,-2.51079379932212,4.429299074118658,5.799000925452225,68.6284336573241
D:\research\data\ModelNet10\bathtub\test\bathtub_0142.off,bathtub,test,3207,3815,3815,6965,27433.830713054012,7.2061546396255345,0.0015544152934383376,469.71549676500007,38.3581,83.0111,30.407838,96.3681647156064,-6.163424337386952,-3.3317546772684756,3.0323060433427336,46.96918471504882
D:\research\data\ModelNet10\bathtub\test\bathtub_0143.off,bathtub,test,1040,1344,1344,2380,21132.8716072326,15.72386280300043,0.7355131872133739,528.0947342500001,35.9794,71.4039,21.0116,82.6711648286753,-9.189230573051297e-16,0.5068388769230665,2.434499999999945,36.99229506009302
D:\research\data\ModelNet10\bathtub\test\bathtub_0144.off,bathtub,test,586,554,554,1123,11070.637760137966,19.983100650068533,0.012289140000000016,406.60300036179984,30.7087,66.1417,22.8346,76.41444687845356,2.57554963139932,1.6088737201612244e-05,-2.9978987372013512,36.19455453225763
D:\research\data\ModelNet10\bathtub\test\bathtub_0145.off,bathtub,test,5452,8516,8516,13880,11992.83664071966,1.408271094495023,1.9400003865973402e-05,74.82814240000002,49.854502,81.2942,30.7874,100.21019070966786,10.196429271093,-7.944670062179034,1.7349836643433634,49.987817753603906
D:\research\data\ModelNet10\bathtub\test\bathtub_0146.off,bathtub,test,11143,14422,14422,24519,9722.906017348754,0.6741718220322283,3.869999999996966e-06,393.382706146,27.5591,66.9291,21.0199,75.37137796027083,-0.02606336929014353,2.1524154897245076,4.537587314906609,38.639602261396405
D:\research\data\ModelNet10\bathtub\test\bathtub_0147.off,bathtub,test,1540,1484,1484,2996,22649.980853483547,15.262790332536072,5.704999999993007e-06,1316.6015625,39.375,66.875,23.625,81.12211088846246,-5.556538168831161,-15.207663714285676,4.5564432467532425,57.197514971146155
D:\research\data\ModelNet10\bathtub\test\bathtub_0148.off,bathtub,test,703,1008,1008,1704,7583.6075842014625,7.523420222422083,0.004675887944181956,51.2118888725,33.00001,72.0396,24.2,82.8513405332714,0.044307480796593836,-0.0023324324324381445,-0.633204153627306,38.20641929973885
D:\research\data\ModelNet10\bathtub\test\bathtub_0149.off,bathtub,test,96750,122855,122855,215102,11800.703082188325,0.09607893539640106,8.000000135564497e-08,31.47972257679129,43.3065,72.864,21.188,87.37017100961862,-0.7589030935400698,3.3750211472868084,-4.390003880827003,47.21024001482715
D:\research\data\ModelNet10\bathtub\test\bathtub_0150.off,bathtub,test,62480,114448,114448,176872,15157.913766905871,0.13244367544129704,9.651563430378888e-05,3.0827012634799997,31.184,63.1728,19.4873,73.09582325365794,2.585867215332442e-14,8.980345630332354e-06,-0.2738749590269,33.02209159673002
D:\research\data\ModelNet10\bathtub\test\bathtub_0151.off,bathtub,test,4658,5972,5972,10559,30472.51499442647,5.104273868413135,0.0037093049999999536,1209.8322,61.00004,61.0,36.5748,93.70016475461289,0.41150893516531956,-7.591911820953224,-7.051709177759141,49.72104782029784
D:\research\data\ModelNet10\bathtub\test\bathtub_0152.off,bathtub,test,849,1066,1066,1880,11703.140273570729,10.99919198643866,0.1309130000000012,468.29874925095,28.0,60.0,18.0,68.61486719363377,1.005909564193167,10.054991001177864,4.837449941107179,44.325204017928826
D:\research\data\ModelNet10\bathtub\test\bathtub_0153.off,bathtub,test,6427,7189,7189,13285,8485.78067405499,1.1803840136395842,1.3042807404832513e-05,359.25393760500003,31.4448,59.7395,33.7242,75.46459416792752,-11.34283848514074,-0.8417708560759308,8.835448577874661,39.917434529964154
D:\research\data\ModelNet10\bathtub\test\bathtub_0154.off,bathtub,test,1494,1194,1194,2538,8238137783.744413,7120257.375751411,8688.043296040902,210018930.00899994,29527.6,66929.1,26011.8,77640.17856631965,-46.5527309236936,-4875.7101070950885,-4716.317911646577,44759.34651893359
D:\research\data\ModelNet10\bathtub\test\bathtub_0155.off,bathtub,test,6215,11834,11834,18003,12960.266986871064,1.0970261542975406,9.62188449512349e-07,96.97027788000001,46.8,86.58,27.0,102.05555545877941,0.06283138117458396,0.05976363185836978,-8.83745787932452,48.36374308856685
D:\research\data\ModelNet10\bathtub\test\bathtub_0156.off,bathtub,test,10158,18728,18728,28936,21070.650688827092,1.1250881401552213,3.1649999919503014e-08,43.89283042245516,34.0223,74.834,27.429066,86.66024529692007,0.2661597822405994,0.009648003937778728,0.3779715036424392,39.21866296588977
D:\research\data\ModelNet10\bathtub\train\bathtub_0001.off,bathtub,train,3514,3546,3546,6850,32701.112088029986,9.253285820042427,6.999999999810977e-06,1012.5093750000001,37.0286,60.063,46.5764,84.54609526122422,-4.922463915765243,2.096811269208879,1.11353184974389,46.65126936661748
D:\research\data\ModelNet10\bathtub\train\bathtub_0002.off,bathtub,train,700,664,664,1346,17020.348329791977,25.633054713542137,2.1581787509454946,96.154859171834,35.243882,59.489766,22.75,72.79234834214844,-0.0936937942857141,0.43411718857143017,5.625,31.13562471622822
D:\research\data\ModelNet10\bathtub\train\bathtub_0003.off,bathtub,train,14963,19985,19985,34985,12562.333553545977,0.6322261476369431,2.3230000001329618e-07,650.999341699005,27.5591,66.9291,21.53539,75.51676265619508,-0.04523938895943743,11.802776874891174,-2.5289251002473168,49.06993425583945
D:\research\data\ModelNet10\bathtub\train\bathtub_0004.off,bathtub,train,2842,3519,3519,6277,18972.581746801767,5.397605048876749,0.0037093049999999536,1209.8322,61.00004,61.0,36.5748,93.70016475461289,-2.7850823574947223,-8.913085072484137,-6.27726865235758,52.546044471217144
D:\research\data\ModelNet10\bathtub\train\bathtub_0005.off,bathtub,train,18472,30734,30734,49279,7520.0846846653085,0.24471476357518068,7.546025428041906e-09,97.05141869515255,31.6474,61.0166,29.846396,74.93591099405421,0.09147232698137588,2.7012930980402636,-7.081030588349928,39.463418749553185
D:\research\data\ModelNet10\bathtub\train\bathtub_0006.off,bathtub,train,3456,5456,5456,8856,15684.922424320921,2.8748024971262653,0.00696000600000006,32.6909869002,38.0988,71.0855,19.1824,82.90133497990246,1.8736111111665816e-05,1.274716581018519,-1.0895189097222078,38.33540924395336
D:\research\data\ModelNet10\bathtub\train\bathtub_0007.off,bathtub,train,422,374,374,770,15958.04379517044,42.66856629724714,0.0967185347822123,575.625,34.5,60.0,19.1875,71.8220729041567,1.039179431279621,2.822126350710899,1.1636210189573466,39.08333524267185
D:\research\data\ModelNet10\bathtub\train\bathtub_0008.off,bathtub,train,1098,1050,1050,2124,2998156.362185133,2866.3062735995454,2.2612499999998477,116319.37206189003,678.238,592.753,185.0,919.5585373716021,-59.81850499089239,-6.114732240437179,-1.1549398907103814,501.7439055112024
D:\research\data\ModelNet10\bathtub\train\bathtub_0009.off,bathtub,train,10600,18652,18652,29082,15160.169287126777,0.8127905472403355,6.566772418962541e-07,12.110416652590732,33.5786,74.8149,19.296,84.24444940748322,0.1802086467924546,-5.828487865660399,-0.16373325301886316,44.2774886220849
D:\research\data\ModelNet10\bathtub\train\bathtub_0010.off,bathtub,train,3135,3996,3996,7034,5331.116090725979,1.3506754726946992,0.0001737199999999222,97.24838621200001,27.5591,70.8661,25.6083,80.23274363319506,-0.7801493355661837,-1.4636068111642815,8.122421218500692,44.84717952721111
D:\research\data\ModelNet10\bathtub\train\bathtub_0011.off,bathtub,train,19887,33998,33998,53954,8631.015578951283,0.253883268000685,5.99017737875329e-08,225.80812354577907,31.7212,69.3014,25.1159,80.24790965632688,0.6286012712827459,0.0884199515261205,-5.033038313772814,38.576153741610156
D:\research\data\ModelNet10\bathtub\train\bathtub_0012.off,bathtub,train,5397,9053,9053,14371,50156.10329637026,5.565479726627894,3.3000000026067733e-06,3293.8402402600004,100.2947,116.7139,40.36,159.09145452003386,14.188099434871186,-8.45113780804142,4.5414400481749375,95.95625573416021
D:\research\data\ModelNet10\bathtub\train\bathtub_0013.off,bathtub,train,7662,12910,12910,20584,19052.325235763532,1.4762378146415363,1.2017868884163265e-07,177.69487587910163,31.7117,68.9729,25.070038,79.94622978365798,1.2121569417906648,-0.04312564761159524,4.913064184546904,35.34067238256223
D:\research\data\ModelNet10\bathtub\train\bathtub_0014.off,bathtub,train,5163,5759,5759,10647,927013.4658854061,161.8672020054841,7.892067219619775e-05,21218.05726875,257.874,498.425,92.143,568.697470497276,26.011105365097773,-50.79852217703035,18.758381615338898,330.8907965110657
D:\research\data\ModelNet10\bathtub\train\bathtub_0015.off,bathtub,train,2511,3798,3798,6298,8783.194326648214,2.315022226317396,1.2909999996986443e-07,98.30703794396128,29.3443,65.7785,23.633,75.80512973236046,0.3041901274392662,0.12215118359217447,0.05716263241736799,35.074833701340545
D:\research\data\ModelNet10\bathtub\train\bathtub_0016.off,bathtub,train,1115,1191,1191,2292,13714.260837525779,11.514912542003154,0.0001814100000000533,805.0646263599999,37.5,72.5004,22.5,84.66881362201788,0.10138161434977556,14.803829327354242,-4.736547085201794,55.682775615775505
D:\research\data\ModelNet10\bathtub\train\bathtub_0017.off,bathtub,train,1154,1076,1076,2161,26675.73812441914,24.791578182545624,0.004091699999999316,2251.316375,46.75,96.313,36.75,113.19151456270916,0.9710771230502802,33.80293570190667,12.04353753899485,90.7489283565802
D:\research\data\ModelNet10\bathtub\train\bathtub_0018.off,bathtub,train,1601,1892,1892,3492,56099.99309241204,29.682536027731206,4.299999999324433e-08,630.8117920699999,88.6477,146.88876,37.812466,175.6829676281362,-1.0177082973141793,47.21190745846363,-9.92118902123655,124.09950072319644
D:\research\data\ModelNet10\bathtub\train\bathtub_0019.off,bathtub,train,3400,4949,4949,8298,22291.437761785346,4.5151788053039015,1.600000000007032e-07,960.0,32.75,60.0,21.0,71.5091777326519,-4.136944648235311,-9.260066370588236,-0.6695418123529439,45.68206813371263
D:\research\data\ModelNet10\bathtub\train\bathtub_0020.off,bathtub,train,422,374,374,770,15958.022972610284,42.66851062195263,0.15071527242326926,575.6246803987644,35.106606,60.5428,21.97328,73.35345561483545,-1.075711227488151,-2.786363573459718,1.2154591540284352,39.08334986632054
D:\research\data\ModelNet10\bathtub\train\bathtub_0021.off,bathtub,train,1183,1722,1722,2884,32129.427835104812,18.65820431771481,0.0034700099999999783,1378.0803124999998,57.7293,140.89,38.209,156.97959058262956,0.9599477007607774,30.302429205410053,-7.699058495350816,105.65980784894028
D:\research\data\ModelNet10\bathtub\train\bathtub_0022.off,bathtub,train,374,682,682,1054,8476.520159595668,12.50224212329743,0.2353645304999995,324.43834499999997,31.0,61.0,19.5,71.14949051117654,-0.27129527272727283,5.696078171122989,0.2432021390374341,37.18326620863648
D:\research\data\ModelNet10\bathtub\train\bathtub_0023.off,bathtub,train,2340,2292,2292,4572,28660.560050607062,12.526468553586973,0.004790681058054099,877.5,72.0,72.0,24.75,104.78817919975516,-3.1499120982906006,6.072191905982905,2.773397435897436,55.38457256965038
D:\research\data\ModelNet10\bathtub\train\bathtub_0024.off,bathtub,train,4574,3826,3826,7442,43706.634607715016,11.556487204578188,1.354999988942415e-07,2236.773400475,53.3465,83.8583,40.5446,107.34024469088935,11.116180909488408,-12.481048958460846,-3.9417730511589335,68.22900372707429
D:\research\data\ModelNet10\bathtub\train\bathtub_0025.off,bathtub,train,220,220,220,422,16562.68177623975,75.28491716472607,0.3235774849999995,631.96875,41.9591,60.1875,21.0,76.31579934102767,0.004619909090908737,-5.174723818181816,0.9494945454545454,42.60623848198484
D:\research\data\ModelNet10\bathtub\train\bathtub_0026.off,bathtub,train,10570,3400,3400,7546,41804.646382866194,12.375561392204316,4.163800000581982e-07,1236.6863182479328,74.1525,59.3913,24.6394,98.14794854860696,18.07652874834444,12.957308004257365,4.797963671712427,71.79218501293059
D:\research\data\ModelNet10\bathtub\train\bathtub_0027.off,bathtub,train,760,758,758,1517,14731.61450441008,19.43484763114787,0.02295811859999998,394.84554681168237,31.496,70.8661,19.685,80.0093830135566,0.07557048684210549,-3.284711110526316,1.4621526315789226,40.334425834898525
D:\research\data\ModelNet10\bathtub\train\bathtub_0028.off,bathtub,train,480,410,410,855,13782.043714480944,33.61474076702669,0.008806000000000019,708.0,30.0,59.0,26.0,71.11258679024411,2.2325204166666643,-9.35,-1.1922045500000005,44.80737584259844
D:\research\data\ModelNet10\bathtub\train\bathtub_0029.off,bathtub,train,2019,1969,1969,3915,20022.499123920432,10.189566984183365,0.0014903399999952605,465.69884230660114,34.3772,80.4081,24.5193,90.82098049426686,8.268948320951038,5.705666919266989,5.635505294700317,50.62063059817986
D:\research\data\ModelNet10\bathtub\train\bathtub_0030.off,bathtub,train,1300,1210,1210,2436,41699.554853457135,34.49094694247897,0.00013938749999982403,6375.683575,95.5001,209.212,28.5124,231.73883359888129,-0.6127610153846147,77.18572569230766,-7.4331856923077755,189.1866704139342
D:\research\data\ModelNet10\bathtub\train\bathtub_0031.off,bathtub,train,262,206,206,439,32376.215972031474,163.51624228298706,0.0020415000000007164,2584.9004000750006,81.1247,113.4371,40.75,145.29196504452682,3.069821755725188,28.6243809160305,5.302763358778626,96.68739867529548
D:\research\data\ModelNet10\bathtub\train\bathtub_0032.off,bathtub,train,795,746,746,1514,10274.945462973057,13.773385339106,6.756324314062937e-06,575.3037105641486,32.0,66.0,22.5,76.72190039356428,3.127444402515722,0.08550150943396215,-4.991884734591181,41.52479210343904
D:\research\data\ModelNet10\bathtub\train\bathtub_0033.off,bathtub,train,18531,21696,21696,39824,123494.1508950657,5.694123519691421,4.535903989426678e-06,901.9566560115,179.7527,174.7314,42.6121,254.27915048163112,-0.6187880289245167,-33.5456050744158,8.590227100642325,123.22275239138908
D:\research\data\ModelNet10\bathtub\train\bathtub_0034.off,bathtub,train,17917,26249,26249,44121,8119.684324642902,0.3098051938129255,2.100000009996883e-08,50.80735410500001,27.5591,62.9921,30.94487,75.3995599094378,0.6970251930568746,-15.922426762962818,7.811749065077856,49.57277684346959
D:\research\data\ModelNet10\bathtub\train\bathtub_0035.off,bathtub,train,1608,2372,2372,3974,5507.1264720201425,2.3256446250085103,0.0013126749999999886,478.255711463471,35.37403,73.104266,21.65359,84.05018539972268,-0.12675880597015005,17.166422279850686,-5.102755746268631,58.73653444247432
D:\research\data\ModelNet10\bathtub\train\bathtub_0036.off,bathtub,train,13630,20091,20091,33515,10100.06151671321,0.5030161619957688,3.1349999983758953e-07,18.53574551502448,40.99755,66.49462,29.1007,83.36176782816509,-2.336050653705067,4.334005490829048,4.578581803668114,37.778270724258206
D:\research\data\ModelNet10\bathtub\train\bathtub_0037.off,bathtub,train,261711,88205,88205,263151,846750060.5624149,9615.494493162852,1.7976731214730535e-12,4007582.1600000006,9600.0,21600.0,5700.0,24314.810301542555,3.2239858555770375,-297.15150321974113,1867.6816013601197,12062.37715861993
D:\research\data\ModelNet10\bathtub\train\bathtub_0038.off,bathtub,train,5717,9861,9861,15510,153430.8566359609,15.568833753014838,2.9999999998723404e-07,5543.277458250001,102.102,204.205,77.3395,241.0516514966243,-12.968684943152264,6.493756421199956,7.909409156900595,134.3922804207272
D:\research\data\ModelNet10\bathtub\train\bathtub_0039.off,bathtub,train,10294,13477,13477,23299,8181.016229708666,0.6080279620742193,3.549999999848813e-07,47.18738593999999,27.5591,70.8661,27.71328,80.92919133649119,-0.14976290295317635,19.698931999806188,0.06502101612587961,57.06688010681453
D:\research\data\ModelNet10\bathtub\train\bathtub_0040.off,bathtub,train,8436,14942,14942,23363,6340.120070684351,0.4245710889094177,5.0000000034533055e-09,145.37574865250002,54.000018,54.0,25.057146,80.37326987043416,4.658626441441442,-4.507514167852054,-0.742693449739204,41.0403171296646
D:\research\data\ModelNet10\bathtub\train\bathtub_0041.off,bathtub,train,105489,36080,36080,106765,11147.51907707905,0.3089667149966455,8.262407064524619e-05,5.318810805627695,39.38827,68.16293,28.5827,83.75315862143827,2.685917477471518,-4.843489784204947,0.7409434073314762,43.29352755043125
D:\research\data\ModelNet10\bathtub\train\bathtub_0042.off,bathtub,train,3504,4848,4848,8240,13589.772097808198,2.805485569324539,1.1450000000412519e-05,397.21246928,47.24407,66.92917,18.58263,84.00494083546931,-1.7928619463470294,3.133468167808215,0.5708159018265482,45.40244031974934
D:\research\data\ModelNet10\bathtub\train\bathtub_0043.off,bathtub,train,6446,10292,10292,16611,8419.544719916006,0.8224621197534449,2.7100982454317903e-07,280.065817218,25.3543,52.9302,25.98601,64.1850396607348,0.5365350915296805,3.0003155134967323,4.952124552435409,30.54243085812655
D:\research\data\ModelNet10\bathtub\train\bathtub_0044.off,bathtub,train,7509,7724,7724,14744,40750.48131791315,5.345026405812277,4.1400000000001006e-05,1053.0,65.5623,78.0,49.25,113.17233620143219,3.8294695898256164,14.423296311093383,8.046668376614795,70.8072362945892
D:\research\data\ModelNet10\bathtub\train\bathtub_0045.off,bathtub,train,598,1010,1010,1590,9125.433561919852,9.07100751681891,0.04968219506856318,324.43834499999997,33.87763,61.0,25.0,74.11945638236224,-0.16965582274247423,5.975327418060189,-1.1011300334448142,38.59101937708524
D:\research\data\ModelNet10\bathtub\train\bathtub_0046.off,bathtub,train,1746,2676,2676,4390,9169.090603175919,3.4264165183766457,2.5010000000425664e-05,329.36041784798147,33.4646,68.8976,24.81165,80.51320832411598,-0.011394342497135307,-2.203251260022906,0.7724759186712297,38.205405784432905
D:\research\data\ModelNet10\bathtub\train\bathtub_0047.off,bathtub,train,7410,1409,1409,3003,20865.149346200997,14.808480728318676,3.470000000546647e-06,830.1132309775074,55.118166,55.117902,24.639406,81.75020288732009,-17.955164041835307,-16.444832325506084,9.546806816734208,66.4630060794842
D:\research\data\ModelNet10\bathtub\train\bathtub_0048.off,bathtub,train,1559,2173,2173,3728,12879.659604547547,5.9325930928362745,4.949999998834359e-07,900.0,30.0,60.0,22.4462,70.73776851470507,0.5452554361770363,21.131924839641183,6.398754894162928,55.981632238824716
